candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
70,True,True,True,False,False,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/6/2025 20:43:45,4-6 stops delivery furniture computer appliances small box truck,10' box truck
71,True,True,True,False,False,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Friday, Saturday, Sunday",True,,1/6/2025 21:44:11,I was part time and helped drivers and occasionally did mi own routes.,"Box vans, vans, CDL TRUCKS"
72,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 22:15:03,,
73,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 22:32:22,I worked for fed ex ground in reno nevada. I was making about 150 stops a day driving 300+ miles.,Box van and cargo van
74,True,True,False,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 22:47:04,I used to deliver furniture for an upholstery shop,"I have experience in driving Toyota Hiace vans, Toyota coaster mini bus and Mitsubishi canter 3 tonne truck"
75,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 23:26:41,,Budget rental vehicles for moving company.
76,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Monday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 23:51:03,I used to deliver furniture,
77,True,True,False,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 1:12:35,,
78,True,True,True,False,False,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 2:46:25,Fedex courier driver 100 stops,Sprinter van Reach
79,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 6:24:28,It varies from pouches to boxes and one day I deliver over 100 packages independent courier,
